text,label
tiffanylue know listenin bad habit earlier start freakin part,empty
layin n bed headache ughhhh waitin call,sadness
funeral ceremony gloomy friday,sadness
want hang friends soon,enthusiasm
dannycastillo want trade someone houston ticket one,neutral
repinging ghostridah14 go prom bf like friends,worry
sleep think old friend want marry damn want two scandalous,sadness
hmmm wwwdjherocom,worry
charviray charlene love miss,sadness
kelcouch sorry least friday,sadness
fall asleep,neutral
choke retainers,worry
ugh beat stupid song get next rude,sadness
brodyjenner watch hill london realise tourture weeks weeks late watch itonlinelol,sadness
get news,surprise
storm electricity go,sadness
annarosekerr agree,love
sleepy even late fail,sadness
perezhilton lady gaga tweet impress video leak know,worry
convince always want signal give damn think lose another friend,sadness
raaaaaaek oh bad hope get better sleep issue lately,worry
wonder awake 7am write new song plot evil secret plot muahahaha oh damn secret anymore,fun
topic map talk balisage markup conference two thousand nine program online tri amml6z via bobdc topicmaps,neutral
eat something know keep tell things food,worry
tire think definitely go get ear infection go bed early,sadness
way home n two deal w underage girls drink gin da bus talk bout keggers damn feel old,worry
isaacmascote sorry people rude isaac get manners know better lewd,sadness
damm servers still need hit eighty koxpers pass,worry
fudge bs whole paper tire ugh hate school time sleep,sadness
hate cancer hate hate hate,worry
annoy start type computer middle night,hate
cynthia_123 sleep,neutral
miss bl bus,neutral
feel strong contractions want go plurkcompwxidk,neutral
socal stoke maybe tomorrow,neutral
screw davidbrussee three weeks,neutral
ether_radio yeah feel funny sleep enough wake mum sing impress,sadness
need skott right,worry
work afternoon,neutral
gabbyisactive aw would unfollow would would cry,neutral
mmm much better day far still quite early last day uds,happiness
davidarchie three go first twitter amaze lol come canada would anything see perform,fun
pick blackberry middle street crush,worry
feel pack hit sfo around time year think miss something,worry
creyes middle school elem high school remain open need credit graduate cali break,empty
bed time hope go school tomorrow though feel well right,worry
onscrn ahh well hop could learn stuff way work separate things also,worry
problem photo twitter amf see face,sadness
jakeboyd oh noooo blow tire reaaaally go send batman smoke,neutral
wnna take bath,neutral
chocolate milk much better straw lack say straw,neutral
tire,worry
djmicdamn hey yu lil fucker textd yu,empty
mennard time different wrap day day stuff tweet talk soon must sleep 6hrs,neutral
benballer way damn suck b ok,neutral
suck able take days work money take trip sad,worry
bed sorta today good sara strep think angelina share water tell prob get,enthusiasm
ramtops recession hotel restructure account add pressure short term cope,neutral
lostluna get dibs sulu,neutral
maternitytees aww onward upwards yay still sad leave bet,sadness
itsgabbith haha poor aby still get sore,worry
diesel yaris 70mpg sad available us would awesome,sadness
want buy great album unfortunately hav enuff fund long time noisy,sadness
pokinatcha honesty pain blech,sadness
ok passengers one alive dead know til end cry,sadness
home alone much,neutral
davidcooklove ia much really happy cook choices single,worry
vincew stefanyngo fell asleep beach put enough sunscreen lol,sadness
think son might flu def clean stanky puke mess poor pumkpin,worry
great see oin cynthia happy dinner great cute little place bad oin get sick afterwards,happiness
give jertronic birthday nudge,neutral
woman transfer first impressions sexualmaternal onto less threaten man weak,worry
brothers bloom open weekend el paso buy brick enjoy watch brothers bloom,neutral
say miss plurking plurkcompwxion,neutral
bite blood cat way rabies bacterin seem seven shots two months never wash cat home hate water,worry
miss voobys,neutral
dancing_monk neither elp,neutral
havingmysay dude favorite sandwich place ever ummm take picture,happiness
sad shin ae get marry alex,worry
