text,afraid,angry,anxious,ashamed,awkward,bored,calm,confused,disgusted,excited,frustrated,happy,jealous,nostalgic,proud,sad,satisfied,surprised
my family be the most salient part of my day  since most days the care of my two children occupy the majority of my time  they be two years old and seven months and i love them  but they also require so much attention that my anxiety be higher than ever  i be often overwhelm by the care the require  but at the same  i be so excite to see them hit developmental and social milestones ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
yoga keep me focus  i be able to take some time for me and breath and work my body  this be important because it set up my mood for the whole day ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
yesterday  my family and i play a bunch of board game  my husband win most of them which be not surprise in the least  we play all sort of game include life  clue  mouse trap and more  it be relax and such a happy  fun fill moment ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
yesterday  i visit my parent and have dinner with them  i have not see them in a few weeks  so it be wonderful to see them and catch up on things ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
yesterday  i really felt the importance of my health  i go on a bite longer hike than usual and be very happy that i could do so  it really make me appreciate my health  with all the news of people die and the tragedy of the utah family murder in mexico  it really make me aware of the importance of my own health and well be ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yesterday  i have to go to work  it be my first day back to work after my weekend  so i be pretty frustrate and sad  it be a pretty bore day overall ,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
yesterday  i get a lot of things ready for list  and field many question from potential buyers  i also do some survey on mturk  wake up this morning to find that there be quite a few items that now have bid and will sell today and tomorrow  and also have two bonuses from survey ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
yesterday  i finish two of the requirements for the semester  i felt relieve because the requirements be hinder me from write my ma thesis  i also felt proud because i be able to do the task with fly color ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
yesterday work be like the good old days  there be so much to do and i barely have time to think  i like be busy and overwhlemed and work have be terribly bore and slow lately  yesterday be a good day ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
yesterday be the sixth of the month so i read the sixth chapter of proverbs  the wisdom gift that god give to solomon be pass on to me through this write  i felt a great connection over the centuries to god s intervention in this man s life ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yesterday be my husband s birthday  and since we would do the whole revelry thing the day before we spend it peacefully in bed watch pointless tv show ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yesterday be my daughters first birthday and it be such a happy event  we open her present and give her a giant cupcake to eat all to herself  me and my family have a blast celebrate this milestone in my daughters life ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
